abap microsoft/aisdkforsapabap
apex google/sf-evolve-forms
batchfile azure/azure-cosmos-db-emulator-docker
bicep azure/aca-dotnet-workshop
bicep azure/aca-landing-zone-accelerator
bicep azure/aksarc
bicep azure/appservice-landing-zone-accelerator
bicep azure/azure-governance-visualizer-accelerator
bicep azure/azure-openai-landing-zone
bicep azure/azure-synapse-analytics-end2end
bicep azure/bicep-lz-vending
bicep azure/data-landing-zone
bicep azure/data-management-zone
bicep azure/gpt-rag
bicep azure/intelligent-app-workshop
bicep azure/reliable-web-app-pattern-dotnet
bicep microsoft/azure-container-apps
bicep microsoft/doodle-to-code
bicep microsoft/industry
c aws/aws-iot-device-sdk-embedded-c
c aws/pg_tle
c facebook/fishhook
c google/cronutils
c google/esh
c google/fscryptctl
c google/google-authenticator-libpam
c google/hiba
c google/iconvg
c google/ios-webkit-debug-proxy
c google/kafel
c google/multichase
c google/neper
c google/ngx_brotli
c google/psp
c google/xsecurelock
c mapbox/earcut.hpp
c microsoft/etl2pcapng
c microsoft/ntttcp
c microsoft/ntttcp-for-linux
c microsoft/odbc-specification
c microsoft/pqcrypto-lweke
c microsoft/sysinternalsebpf
c microsoft/webauthn
c ruby/bigdecimal
c ruby/curses
c shopify/liquid-c
c valvesoftware/voglperf
clojure google/clojure-turtle
cmake mapbox/hpp-skel
coffeescript shopify/twine
cpp amzn/hawktracer
cpp aws/credentials-fetcher
cpp azure/iisnode
cpp facebook/pyre2
cpp facebook/transform360
cpp facebookincubator/fbjni
cpp facebookincubator/fbx2gltf
cpp facebookincubator/strobelight
cpp google/aistreamer
cpp google/bloaty
cpp google/cctz
cpp google/cppdap
cpp google/cpu_features
cpp google/crc32c
cpp google/cwisstable
cpp google/flutter-desktop-embedding
cpp google/fuse-archive
cpp google/guetzli
cpp google/highwayhash
cpp google/ihmehimmeli
cpp google/integers
cpp google/kati
cpp google/knusperli
cpp google/libprotobuf-mutator
cpp google/lyra
cpp google/marl
cpp google/minimalloc
cpp google/minja
cpp google/monster-mash
cpp google/mount-zip
cpp google/network-opt
cpp google/node-gles
cpp google/nsjail
cpp google/osqp-cpp
cpp google/pawn
cpp google/quic-trace
cpp google/redgrep
cpp google/robotstxt
cpp google/securemessage
cpp google/snappy
cpp google/uiforetw
cpp google/uvkcompute
cpp google/visqol
cpp google/vxsig
cpp google/woff2
cpp google/zopfli
cpp mapbox/eternal
cpp mapbox/gzip-hpp
cpp mapbox/jni.hpp
cpp mapbox/node-or-tools
cpp mapbox/node-zipfile
cpp mapbox/polylabel
cpp microsoft/alex
cpp microsoft/antares
cpp microsoft/archprobe
cpp microsoft/arduinohidforwindows
cpp microsoft/bitnet
cpp microsoft/directstorage
cpp microsoft/dxcapsviewer
cpp microsoft/eva
cpp microsoft/fishstore
cpp microsoft/gltf-toolkit
cpp microsoft/gsl
cpp microsoft/iis.servicemonitor
cpp microsoft/iot-for-beginners
cpp microsoft/l4
cpp microsoft/machnet
cpp microsoft/node-native-keymap
cpp microsoft/onnxruntime-unrealengine
cpp microsoft/pict
cpp microsoft/pmwcas
cpp microsoft/projfs-managed-api
cpp microsoft/proxy
cpp microsoft/quicreach
cpp microsoft/rdpgamepad
cpp microsoft/shaderconductor
cpp microsoft/t-mac
cpp microsoft/vcperf
cpp microsoft/vc-ue-extensions
cpp microsoft/verona
cpp microsoft/vswhere
cpp microsoft/windbg-libraries
cpp microsoft/windows-container-tools
cpp microsoft/winrtc
cpp microsoft/wpfdxinterop
cpp microsoft/wslg
cpp valvesoftware/driver_hydra
csharp aspnet/microsoftconfigurationbuilders
csharp aws/aws-aspnet-cognito-identity-provider
csharp aws/aws-dotnet-extensions-configuration
csharp aws/aws-logging-dotnet
csharp aws/aws-sdk-net-extensions-cognito
csharp azure/aspnet-redis-providers
csharp azure/azure-datafactory
csharp azure/azure-functions-dapr-extension
csharp azure/azure-functions-templates
csharp azure/azure-relay-bridge
csharp azure/azure-saas
csharp azure/azure-stream-analytics
csharp azure/modern-web-app-pattern-dotnet
csharp azure/openapi-diff
csharp azure/sg-aks-workshop
csharp azure/vector-search-ai-assistant-mongodbvcore
csharp dotnet/csharplang
csharp dotnet/csharpstandard
csharp dotnet/datagridextensions
csharp dotnet/deployment-tools
csharp dotnet/designs
