abap microsoft/aisdkforsapabap
apex google/bulk_actions_framework
apex google/ditto-mocks
apex google/sf-evolve-forms
asp.net microsoft/windows-appconsult-tools-iapwrapper
assembly google/vbootrom
assembly microsoft/jacdac-padauk
assembly microsoft/pxt-ws2812b
batchfile azure/azure-cosmos-db-emulator-docker
batchfile microsoft/threat-matrix-for-kubernetes
batchfile microsoft/windowshellofacetracelog
bicep azure/aca-dotnet-workshop
bicep azure/aca-landing-zone-accelerator
bicep azure/adaw
bicep azure/ahds-reference-architecture
bicep azure/aksarc
bicep azure/analyticsinabox
bicep azure/apicenter-analyzer
bicep azure/apimanagement-authorizations
bicep azure/appservice-landing-zone-accelerator
bicep azure/arc_jumpstart_levelup
bicep azure/aro-landing-zone-accelerator
bicep azure/azure-devops-templates-iac
bicep azure/azurefeddevblog
bicep azure/azure-governance-visualizer-accelerator
bicep azure/azure-iot-operations
bicep azure/azure-mainframe-landing-zone-public
bicep azure/azure-openai-landing-zone
bicep azure/azure-orbital-stac
bicep azure/azure-postgresql
bicep azure/azure-synapse-analytics-end2end
bicep azure/bacc
bicep azure/bicep-lz-vending
bicep azure/commercialconfidentialcompute
bicep azure/copilot-jsk
bicep azure/cyclecloud-slurm-workspace
bicep azure/data-landing-zone
bicep azure/data-management-zone
bicep azure/data-product-analytics
bicep azure/data-product-batch
bicep azure/data-product-streaming
bicep azure/deployment-stacks
bicep azure/document-vector-pipeline
bicep azure/employee-retention-databricks-kubernetes-poc
bicep azure/fta-networking
bicep azure/genaiops-project-template
bicep azure/generator-jhipster-azure-container-apps
bicep azure/gpt-rag
bicep azure/hadoop-migrations
bicep azure/hardened-webapp
bicep azure/hubandspokeresearchenclave
bicep azure/integration-services-landing-zone-accelerator
bicep azure/intelligent-app-workshop
bicep azure/iotedge-vm-deploy
bicep azure/iottrainingpack
bicep azure/jp-akssecurity
bicep azure/linux-on-azure-levelup
bicep azure/llmops-project-template
bicep azure/maximo
bicep azure/missionlz-edge
bicep azure/mock-spacestation
bicep azure/osdu-developer
bicep azure/reddog-code-slight
bicep azure/reliable-web-app-pattern-dotnet
bicep azure/secure-cross-tenant-azure-app-access-with-private-endpoints
bicep azure/sterling
bicep azure/synapseanalyticssecured
bicep azure/synapseenterprisecodebase
bicep azure/usfsi-asr-lab
bicep azure/vm-scale-sets
bicep microsoft/acc
bicep microsoft/azure-container-apps
bicep microsoft/azure-health-data-services-workshop
bicep microsoft/azure-openai-landing-zone
bicep microsoft/azureopenai-with-apim
bicep microsoft/azure-pdf-form-processing-automation-solution-accelerator
bicep microsoft/azure-redcap-paas
bicep microsoft/build-your-first-agent-with-azure-ai-agent-service-workshop
bicep microsoft/cc-cea-dotnet
bicep microsoft/cookiecutter_template_for_python
bicep microsoft/doodle-to-code
bicep microsoft/eleos
bicep microsoft/ftatoolkit-rest-analytics-quickstart
bicep microsoft/hands-on-lab-code-to-cloud
bicep microsoft/hands-on-lab-platform-engineering-for-devs
bicep microsoft/hephaestus
bicep microsoft/ignite24-lab-441
bicep microsoft/industry
bicep microsoft/lugh
bicep microsoft/power-platform-app-dev-in-a-day-kr
bicep microsoft/powerplatform-dev-day
bicep microsoft/semantic-ranker-solution-postgresql
bicep microsoft/teams4justice
bicep microsoft/techexcel-integrating-azure-paas-and-ai-services-for-ai-design-wins
bicep microsoft/techexcel-migrate-linux-workloads
bicep microsoft/techexcel-securely-migrate-windows-server-and-sql-server-workloads-to-azure
bicep microsoft/vmscalesets
bicep microsoft/wailiu-aca-dotnet-workshop
bitbake azure/meta-azure-device-update
bitbake azure/meta-iotedge
